id,question,gold_answer,model_answer,elapsed_sec
0,Bebe Rexha was a singer who guested on the David Guetta song that was produced by which Dutch DJ?,Afrojack,"The question is asking for the Dutch DJ who produced the David Guetta song that Bebe Rexha guested on.

The relevant parts of the context are the information about The Voice of Holland, Ali B, and the Dutch DJ John de Mol.

The answer is based on the context, but it is not explicitly stated that Bebe Rexha guested on a David Guetta song produced by a Dutch DJ. However, considering the context, it is possible that Bebe Rexha guested on a song produced by John de Mol, who is a Dutch DJ and the creator of The Voice of Holland.

FINAL_ANSWER: John de Mol",42.6
1,"Yukio Mishima and Roberto Bolaño, are Chilean?",no,"1. The question is asking if Yukio Mishima and Roberto Bolaño are Chilean.
2. The relevant parts of the context are the biographical information about Mishima and Bolaño.
3. Based on the context, neither Yukio Mishima nor Roberto Bolaño is described as being Chilean. Mishima was Japanese and Bolaño was Chilean, but the question is asking about both of them.

FINAL_ANSWER: Neither Yukio Mishima nor Roberto Bolaño are Chilean.",26.6
2,What Lindsey Stirling song's video received 1.3 million views on YouTube after one day?,Shatter Me,"The question is asking for the name of the Lindsey Stirling song whose music video received 1.3 million views on YouTube after one day.

The relevant parts of the context are the information about Lindsey Stirling's song ""Shatter Me"" and its release on April 23, as well as the details about its YouTube views.

The answer is based on the context, which states that the second single, ""Shatter Me"", was released on April 23 and accumulated 1.3 million views after one day on YouTube.

FINAL_ANSWER: ""Shatter Me""",27.7
3,The 1st Battle of Kharkov was named so by a German field army born in which year ?,1882,"The question is asking for the birth year of the German field marshal who named the 1st Battle of Kharkov.

The relevant parts of the context are the information about Wilhelm Keitel, the German field marshal who served as Chief of the Armed Forces High Command, and the 1st Battle of Kharkov.

The answer is based on the context, which states that Wilhelm Keitel was born in 1882.

FINAL_ANSWER: 1882",26.7
4,"Power Balladz, is a live comedy performance featuring a mixture of comedy, trivia, and iconic rock n' roll songs from the 70s, 80s & 90s, the comedy's musical blend includes songs by Heart, a rock band that first found success in Canada and later in the United States and worldwide, are of which nationality ?",American,"The question is asking about the nationality of the rock band Heart.

The relevant parts of the context are the description of the comedy performance Power Balladz and the information about Heart.

The answer is based on the context, which states that Heart is an American rock band that first found success in Canada and later in the United States and worldwide.

FINAL_ANSWER: American",18.5
5,"Kazuhito Kosaka, is a Japanese comedian, better known by his stage names Daimaou Kosaka, and which name, used by his fictional singer-songwriter identity, and is best known for his single ""PPAP (Pen-Pineapple-Apple-Pen)""?",Pikotaro,"The question is asking which stage name Kazuhito Kosaka is best known for, specifically in relation to his fictional singer-songwriter identity.

The relevant parts of the context are the descriptions of Kazuhito Kosaka's stage names, Daimaou Kosaka and Pikotaro, and the fact that Pikotaro is a fictional singer-songwriter created by Kazuhito Kosaka.

The answer is based on the context, which states that Pikotaro is a fictional singer-songwriter created and portrayed by Kazuhito Kosaka, and that Kazuhito Kosaka is better known by his stage name Daimaou Kosaka.

FINAL_ANSWER: Daimaou Kosaka.",33.3
6,What was the population of the terminus of the Willunga railway line in 2011,"2,416","The question is asking for the population of the terminus of the Willunga railway line in 2011.

The relevant parts of the context are the information about the Willunga railway line and the population of Willunga in 2011.

The answer is based on the fact that the Willunga railway line ran from Adelaide railway station to Willunga, and the population of Willunga in 2011 was 2,416.

FINAL_ANSWER: The population of the terminus of the Willunga railway line in 2011 was 2,416.",26.8
7,"Stranger Things is an American science fiction-horror web television series created, written, directed and co-executive produced by the Duffer Brothers, the first season stars include Gaten Matarazzo, an American actor, who began his career on the Broadway stage as who, in ""Priscilla, Queen of the Desert""?",Benjamin,"The question is asking for the role that Gaten Matarazzo began his career on the Broadway stage as, in the musical ""Priscilla, Queen of the Desert"".

The relevant parts of the context are the information about Gaten Matarazzo's career and the musical ""Priscilla, Queen of the Desert"".

The answer is based on the context, which states that Gaten Matarazzo began his career on the Broadway stage as Benjamin in ""Priscilla, Queen of the Desert"".

FINAL_ANSWER: Gaten Matarazzo began his career on the Broadway stage as Benjamin in ""Priscilla, Queen of the Desert"".",29.4
8,"Who wrote the lyrics of Portofino with a collaborator on ""Fiddler on the Roof""",Richard Ney,"The question is asking for the lyricist who collaborated with Jerry Bock on ""Fiddler on the Roof"".

The relevant parts of the context are Sheldon Harnick's biography and his collaboration with Jerry Bock on ""Fiddler on the Roof"".

The answer is Sheldon Harnick, as he is mentioned as an American lyricist best known for his collaborations with composer Jerry Bock on musicals such as ""Fiddler on the Roof"".

FINAL_ANSWER: Sheldon Harnick",26.0
9,What Hockey team does Evander Kane play for?,Buffalo Sabres,"1. The question is asking for the hockey team that Evander Kane plays for.
2. The relevant parts of the context are the two mentions of Evander Kane, one stating he is a Canadian professional ice hockey left winger currently playing for the Buffalo Sabres, and the other stating he is a Canadian professional ice hockey left winger.
3. The answer is based on the context, which states that Evander Kane currently plays for the Buffalo Sabres.

FINAL_ANSWER: The Buffalo Sabres.",23.2
10,Which  castle in the border region of Scotland did Hermitage Water passes through ,Hermitage Castle,"The question is asking for the name of the castle in the border region of Scotland that Hermitage Water passes through.

The relevant parts of the context are the descriptions of Hermitage Castle and the location of Hermitage Water.

Based on the context, Hermitage Water passes through Hermitage Castle, which is located in the border region of Scotland.

FINAL_ANSWER: Hermitage Castle.",20.7
11,"Which movie was co-written by the person who directed ""Blood""?",The Awakening,"The question is asking for the movie that was co-written by the person who directed ""Blood"".

The relevant parts of the context are the information about Nick Murphy, the director of ""The Awakening"", and the fact that he co-wrote the film.

The answer is based on the context, which states that Nick Murphy co-wrote the film ""The Awakening"" (2011), which was also directed by him. Therefore, the movie that was co-written by the person who directed ""Blood"" is actually ""The Awakening"".

FINAL_ANSWER: The Awakening (2011)",27.3
12,"Which genus has more species, Fir or Chelone?",Firs,"The question is asking which genus has more species, Fir or Chelone.

The relevant parts of the context are the descriptions of the two genera: Fir (Abies) and Chelone. 

Fir has 48–56 species, while Chelone has 4 species. 

Therefore, Fir has more species than Chelone.

FINAL_ANSWER: Fir has more species than Chelone.",19.2
13,Which genus is more spread around the world Maytenus or Eucommia ?,Maytenus,"The question is asking which genus, Maytenus or Eucommia, has a wider distribution around the world.

The relevant parts of the context are the descriptions of Maytenus and Eucommia. 

Maytenus is characterized by its wider distribution, including Central and South America, Southeast Asia, Micronesia, Australasia, the Indian Ocean, and Africa. 

Eucommia, on the other hand, has a fossil record showing a much wider distribution, but its current native range is limited to China.

FINAL_ANSWER: Maytenus has a wider distribution around the world.",24.5
14,When was the American rapper which was one those whose House Shoes produced their albums born? ,"March 16, 1981","The question is asking for the birthdate of the American rapper whose albums were produced by House Shoes.

The relevant parts of the context are the information about Tupac Amaru Shakur's life, including his birthdate (June 16, 1971).

The answer is based on the context, which states that Tupac Amaru Shakur was born on June 16, 1971.

FINAL_ANSWER: Tupac Amaru Shakur was born on June 16, 1971.",21.7
