id,question,gold_answer,model_answer,original_answer,confidence,critic_action,critic_raw,elapsed_sec
0,Bebe Rexha was a singer who guested on the David Guetta song that was produced by which Dutch DJ?,Afrojack,Bebe Rexha did not guest on a David Guetta song produced by a Dutch DJ.,I couldn't find any information about Bebe Rexha guesting on a David Guetta song produced by a Dutch DJ.,LOW,REVISED,"VERDICT: REVISE
CORRECTED_ANSWER: Bebe Rexha did not guest on a David Guetta song produced by a Dutch DJ.",7.5
1,"Yukio Mishima and Roberto Bolaño, are Chilean?",no,"No, they are not Chilean.","No, they are not Chilean.",HIGH,KEPT,"VERDICT: KEEP

The proposed answer is correct. Yukio Mishima was Japanese, and Roberto Bolaño was also of Spanish origin. Therefore, neither of them is Chilean.",6.1
2,What Lindsey Stirling song's video received 1.3 million views on YouTube after one day?,Shatter Me,"The song ""Shatter Me"" from Lindsey Stirling's debut album received 1.3 million views on YouTube after one day.","The song ""Shatter Me"" from Lindsey Stirling's second studio album received 1.3 million views on YouTube after one day.",LOW,REVISED,"VERDICT: REVISE
CORRECTED_ANSWER: The song ""Shatter Me"" from Lindsey Stirling's debut album received 1.3 million views on YouTube after one day.",6.2
3,The 1st Battle of Kharkov was named so by a German field army born in which year ?,1882,"The 1st Battle of Kharkov was named so by a German field army, but the year of birth of the field army commander is not 1882.",1882.,HIGH,REVISED,"VERDICT: REVISE
CORRECTED_ANSWER: The 1st Battle of Kharkov was named so by a German field army, but the year of birth of the field army commander is not 1882.",7.1
4,"Power Balladz, is a live comedy performance featuring a mixture of comedy, trivia, and iconic rock n' roll songs from the 70s, 80s & 90s, the comedy's musical blend includes songs by Heart, a rock band that first found success in Canada and later in the United States and worldwide, are of which nationality ?",American,"Heart, the rock band that first found success in Canada and later in the United States and worldwide, is of Canadian nationality.",Canadian.,HIGH,REVISED,"VERDICT: REVISE
CORRECTED_ANSWER: Heart, the rock band that first found success in Canada and later in the United States and worldwide, is of Canadian nationality.",6.4
5,"Kazuhito Kosaka, is a Japanese comedian, better known by his stage names Daimaou Kosaka, and which name, used by his fictional singer-songwriter identity, and is best known for his single ""PPAP (Pen-Pineapple-Apple-Pen)""?",Pikotaro,"Kazuhito Kosaka, better known as Daimaou Kosaka and Pikotaro, is best known for his single ""PPAP (Pen-Pineapple-Apple-Pen)"".",Pikotaro.,HIGH,REVISED,"VERDICT: REVISE
CORRECTED_ANSWER: Kazuhito Kosaka, better known as Daimaou Kosaka and Pikotaro, is best known for his single ""PPAP (Pen-Pineapple-Apple-Pen)"".",7.7
6,What was the population of the terminus of the Willunga railway line in 2011,"2,416","2,416.","2,416.",HIGH,KEPT,"To accurately review this answer, I need to check the population data for the terminus of the Willunga railway line in 2011. The terminus of the Willunga railway line is the town of Willunga, which is a small town in South Australia, Australia.

According to the latest available data, the population of Willunga in 2011 was 2,416. This matches the proposed answer exactly.

VERDICT: KEEP",12.9
7,"Stranger Things is an American science fiction-horror web television series created, written, directed and co-executive produced by the Duffer Brothers, the first season stars include Gaten Matarazzo, an American actor, who began his career on the Broadway stage as who, in ""Priscilla, Queen of the Desert""?",Benjamin,"Gaten Matarazzo began his career on the Broadway stage as an understudy for Gavroche in ""Les Misérables"".","Gavroche in ""Les Misérables"".",HIGH,REVISED,"VERDICT: REVISE
CORRECTED_ANSWER: Gaten Matarazzo began his career on the Broadway stage as an understudy for Gavroche in ""Les Misérables"".",6.6
8,"Who wrote the lyrics of Portofino with a collaborator on ""Fiddler on the Roof""",Richard Ney,Sheldon Harnick collaborated with Harvey Fierstein on the lyrics of Portofino.,Sheldon Harnick collaborated with Richard Ney on the lyrics of Portofino.,LOW,REVISED,"VERDICT: REVISE
CORRECTED_ANSWER: Sheldon Harnick collaborated with Harvey Fierstein on the lyrics of Portofino.",5.1
9,What Hockey team does Evander Kane play for?,Buffalo Sabres,The Buffalo Sabres.,The Buffalo Sabres.,HIGH,KEPT,"VERDICT: KEEP

The proposed answer is correct. Evander Kane plays for the Buffalo Sabres.",3.7
10,Which  castle in the border region of Scotland did Hermitage Water passes through ,Hermitage Castle,Hermitage Castle.,Hermitage Castle.,HIGH,KEPT,VERDICT: KEEP,1.7
11,"Which movie was co-written by the person who directed ""Blood""?",The Awakening,"Diane Bell co-wrote ""Blood"" (2012), but she did not co-write any other movie.","Diane Bell co-wrote ""Blood"" (2012).",LOW,REVISED,"VERDICT: REVISE
CORRECTED_ANSWER: Diane Bell co-wrote ""Blood"" (2012), but she did not co-write any other movie.",5.7
12,"Which genus has more species, Fir or Chelone?",Firs,Chelone has more species than Firs (Abies).,Firs (Abies) have more species than Chelone.,LOW,REVISED,"VERDICT: REVISE
CORRECTED_ANSWER: Chelone has more species than Firs (Abies).",4.3
13,Which genus is more spread around the world Maytenus or Eucommia ?,Maytenus,Maytenus is more spread around the world.,Maytenus is more spread around the world.,HIGH,KEPT,"To accurately determine which genus is more spread around the world between Maytenus and Eucommia, we need to consider the geographical distribution of these plants.

Maytenus is a genus of flowering plants in the family Celastraceae. It is native to the Americas, with the majority of species found in the Neotropics, particularly in Central and South America. It is not as widely distributed as Eucommia.

Eucommia, on the other hand, is a genus of flowering plants in the family Eucommiaceae. It is native to East Asia, particularly in China, Japan, and Korea. Eucommia species are more geographically concentrated and less widespread compared to Maytenus.

Given this information, it appears that Maytenus is more widely distributed around the world compared to Eucommia.

VERDICT: KEEP

CORRECTED_ANSWER: Maytenus is more spread around the world.",24.4
14,When was the American rapper which was one those whose House Shoes produced their albums born? ,"March 16, 1981","Lesane Parish Crooks, better known as Tupac Amaru Shakur, was born on June 16, 1971.","Lesane Parish Crooks, better known as Tupac Amaru Shakur, was born on June 16, 1971.",LOW,KEPT,"VERDICT: KEEP

The proposed answer is correct. Tupac Amaru Shakur, whose stage name is Tupac, was indeed born on June 16, 1971.",6.4
15,"Mel Duncan holds a degree from what private, coeducational liberal arts college located in Saint Paul, Minnesota, US?",Macalester College,Macalester College.,Macalester College.,HIGH,KEPT,"VERDICT: KEEP

The proposed answer ""Macalester College"" is correct. Mel Duncan indeed holds a degree from Macalester College, which is a private, coeducational liberal arts college located in Saint Paul, Minnesota, US.",7.3
