id,question,gold_answer,model_answer,sample_1,sample_2,sample_3,agreement_count,confidence,elapsed_sec
0,Bebe Rexha was a singer who guested on the David Guetta song that was produced by which Dutch DJ?,Afrojack,I couldn't find any information about Bebe Rexha guesting on a David Guetta song produced by a Dutch DJ.,I couldn't find any information about Bebe Rexha guesting on a David Guetta song produced by a Dutch DJ.,"I couldn't find any information about Bebe Rexha guesting on a David Guetta song, so I can't provide an answer.",I cannot verify who produced the David Guetta song that Bebe Rexha guested on.,1,LOW,26.6
1,"Yukio Mishima and Roberto Bolaño, are Chilean?",no,"No, they are not Chilean.","No, they are not Chilean.","No, they are not Chilean.","No, Yukio Mishima was Japanese and Roberto Bolaño was Chilean.",2,HIGH,10.2
2,What Lindsey Stirling song's video received 1.3 million views on YouTube after one day?,Shatter Me,"The song ""Shatter Me"" from Lindsey Stirling's second studio album received 1.3 million views on YouTube after one day.","The song ""Shatter Me"" from Lindsey Stirling's second studio album received 1.3 million views on YouTube after one day.","""Shatter Me"" is a song by Lindsey Stirling.","The song ""Shatter Me"" from Lindsey Stirling's second studio album, featuring vocals from Lzzy Hale, received 1.3 million views on YouTube after one day.",1,LOW,15.0
3,The 1st Battle of Kharkov was named so by a German field army born in which year ?,1882,1882.,1882.,1882.,1882.,3,HIGH,9.8
4,"Power Balladz, is a live comedy performance featuring a mixture of comedy, trivia, and iconic rock n' roll songs from the 70s, 80s & 90s, the comedy's musical blend includes songs by Heart, a rock band that first found success in Canada and later in the United States and worldwide, are of which nationality ?",American,Canadian.,American.,Canadian.,Canadian.,2,HIGH,5.7
5,"Kazuhito Kosaka, is a Japanese comedian, better known by his stage names Daimaou Kosaka, and which name, used by his fictional singer-songwriter identity, and is best known for his single ""PPAP (Pen-Pineapple-Apple-Pen)""?",Pikotaro,Pikotaro.,Pikotaro.,Pikotaro.,Pikotaro.,3,HIGH,8.2
6,What was the population of the terminus of the Willunga railway line in 2011,"2,416","2,416.","2,416.","Willunga had a population of 2,416 in 2011.","2,416.",2,HIGH,9.0
7,"Stranger Things is an American science fiction-horror web television series created, written, directed and co-executive produced by the Duffer Brothers, the first season stars include Gaten Matarazzo, an American actor, who began his career on the Broadway stage as who, in ""Priscilla, Queen of the Desert""?",Benjamin,"Gavroche in ""Les Misérables"".","Gavroche in ""Les Misérables"".","Gavroche in ""Les Misérables"".","Benjamin in ""Priscilla, Queen of the Desert"".",2,HIGH,9.6
8,"Who wrote the lyrics of Portofino with a collaborator on ""Fiddler on the Roof""",Richard Ney,Sheldon Harnick collaborated with Richard Ney on the lyrics of Portofino.,Sheldon Harnick collaborated with Richard Ney on the lyrics of Portofino.,"Sheldon Harnick collaborated with Richard Ney on the lyrics of Portofino and with Jerry Bock on ""Fiddler on the Roof"".","Sheldon Harnick collaborated with Richard Ney on the lyrics of Portofino and with Jerry Bock on musicals like ""Fiddler on the Roof"".",1,LOW,16.4
9,What Hockey team does Evander Kane play for?,Buffalo Sabres,The Buffalo Sabres.,The Buffalo Sabres.,The Buffalo Sabres.,The Buffalo Sabres.,3,HIGH,6.6
10,Which  castle in the border region of Scotland did Hermitage Water passes through ,Hermitage Castle,Hermitage Castle.,Hermitage Castle.,Hermitage Castle.,Hermitage Castle.,3,HIGH,5.9
