id,question,gold_answer,model_answer,elapsed_sec
0,Bebe Rexha was a singer who guested on the David Guetta song that was produced by which Dutch DJ?,Afrojack,"1. The question is asking for the Dutch DJ who produced the David Guetta song that Bebe Rexha guested on.
2. The relevant parts of the context are the information about The Voice of Holland, Ali B, and Ali Bouali (also known as Ali B).
3. The answer is based on the fact that Ali B was a coach on The Voice of Holland and is a Dutch DJ, but there is no direct connection to Bebe Rexha or the David Guetta song in the provided context.

FINAL_ANSWER: There is not enough information in the context to determine the correct answer.",31.2
1,"Yukio Mishima and Roberto Bolaño, are Chilean?",no,"1. The question is asking if Yukio Mishima and Roberto Bolaño are Chilean.
2. The relevant parts of the context are the biographical information about Mishima and Bolaño.
3. The answer is based on the fact that Roberto Bolaño is described as a Chilean novelist, short-story writer, poet and essayist.

FINAL_ANSWER: No",15.0
2,What Lindsey Stirling song's video received 1.3 million views on YouTube after one day?,Shatter Me,"The question is asking for the name of the Lindsey Stirling song whose music video received 1.3 million views on YouTube after one day.

The relevant parts of the context are the information about Lindsey Stirling's song ""Shatter Me"" and its release on YouTube.

The answer is based on the context, which states that the second single ""Shatter Me"" was released on April 23 and accumulated 1.3 million views after one day on YouTube.

FINAL_ANSWER: ""Shatter Me""",18.1
3,The 1st Battle of Kharkov was named so by a German field army born in which year ?,1882,"The question is asking for the birth year of the German field marshal who named the 1st Battle of Kharkov.

The relevant parts of the context are the information about Wilhelm Keitel, the German field marshal, and the 1st Battle of Kharkov.

The answer is based on the context, which states that Wilhelm Keitel was born in 1882.

FINAL_ANSWER: 1882",23.0
4,"Power Balladz, is a live comedy performance featuring a mixture of comedy, trivia, and iconic rock n' roll songs from the 70s, 80s & 90s, the comedy's musical blend includes songs by Heart, a rock band that first found success in Canada and later in the United States and worldwide, are of which nationality ?",American,"1. The question is asking about the nationality of the rock band Heart.
2. The relevant parts of the context are the description of the comedy performance Power Balladz and the information about Heart.
3. The answer is based on the context that Heart is described as an ""American rock band"".

FINAL_ANSWER: American",14.9
5,"Kazuhito Kosaka, is a Japanese comedian, better known by his stage names Daimaou Kosaka, and which name, used by his fictional singer-songwriter identity, and is best known for his single ""PPAP (Pen-Pineapple-Apple-Pen)""?",Pikotaro,"1. The question is asking which stage name Kazuhito Kosaka is best known for, specifically in relation to his fictional singer-songwriter identity.
2. The relevant parts of the context are the descriptions of Kazuhito Kosaka's stage names, Daimaou Kosaka and Pikotaro, and the information about Pikotaro's single ""PPAP (Pen-Pineapple-Apple-Pen)"".
3. The answer is based on the context, which states that Kazuhito Kosaka is better known by his stage name Pikotaro, and that Pikotaro is a fictional singer-songwriter created and portrayed by Kazuhito Kosaka.

FINAL_ANSWER: Pikotaro",25.6
6,What was the population of the terminus of the Willunga railway line in 2011,"2,416","1. The question is asking for the population of the terminus of the Willunga railway line in 2011.
2. The relevant parts of the context are the information about Willunga, specifically its population at the 2011 census.
3. The answer is based on the fact that Willunga had a population of 2,416 at the 2011 census.

FINAL_ANSWER: 2416",16.8
7,"Stranger Things is an American science fiction-horror web television series created, written, directed and co-executive produced by the Duffer Brothers, the first season stars include Gaten Matarazzo, an American actor, who began his career on the Broadway stage as who, in ""Priscilla, Queen of the Desert""?",Benjamin,"1. The question is asking for the role that Gaten Matarazzo began his career with on the Broadway stage, as mentioned in the context.
2. The relevant parts of the context are the information about Gaten Matarazzo's career, specifically his role in ""Priscilla, Queen of the Desert"".
3. The answer is that Gaten Matarazzo began his career on the Broadway stage as Benjamin in ""Priscilla, Queen of the Desert"".

FINAL_ANSWER: Gaten Matarazzo began his career on the Broadway stage as Benjamin in ""Priscilla, Queen of the Desert"".",22.4
8,"Who wrote the lyrics of Portofino with a collaborator on ""Fiddler on the Roof""",Richard Ney,"1. The question is asking for the lyricist who collaborated with Jerry Bock on ""Fiddler on the Roof"".
2. The relevant parts of the context are Sheldon Harnick's biography and his collaboration with Jerry Bock on ""Fiddler on the Roof"".
3. Based on the context, Sheldon Harnick is the lyricist who collaborated with Jerry Bock on ""Fiddler on the Roof"".

FINAL_ANSWER: Sheldon Harnick",18.1
9,What Hockey team does Evander Kane play for?,Buffalo Sabres,"1. The question is asking for the hockey team that Evander Kane plays for.
2. The relevant parts of the context are the two mentions of Evander Kane, one stating he is a Canadian professional ice hockey left winger currently playing for the Buffalo Sabres.
3. The answer is based on the context, which explicitly states that Evander Kane currently plays for the Buffalo Sabres.

FINAL_ANSWER: The Buffalo Sabres.",18.5
10,Which  castle in the border region of Scotland did Hermitage Water passes through ,Hermitage Castle,"1. The question is asking for the name of the castle in the border region of Scotland that Hermitage Water passes through.

2. The relevant parts of the context are the descriptions of Hermitage Castle and the location of Hermitage Water.

3. Based on the context, Hermitage Water passes through Hermitage Castle, which is located in the border region of Scotland.

FINAL_ANSWER: Hermitage Castle",16.6
11,"Which movie was co-written by the person who directed ""Blood""?",The Awakening,"The question is asking for the movie that was co-written by the person who directed ""Blood"".

The relevant parts of the context are the information about Nick Murphy's film ""The Awakening"" and the fact that Diane Bell directed the film ""Blood"".

The answer is based on the context, which states that Diane Bell directed the film ""Blood"" and also co-wrote it.

FINAL_ANSWER: ""Blood""",17.1
12,"Which genus has more species, Fir or Chelone?",Firs,"1. The question is asking for a comparison of the number of species between the Fir genus and the Chelone genus.
2. The relevant parts of the context are the descriptions of the Fir genus and the Chelone genus.
3. The Fir genus has 48-56 species, while the Chelone genus has 4 species. Therefore, the Fir genus has more species.

FINAL_ANSWER: The Fir genus has more species than the Chelone genus.",15.7
13,Which genus is more spread around the world Maytenus or Eucommia ?,Maytenus,"1. The question is asking which genus, Maytenus or Eucommia, has a wider distribution around the world.
2. The relevant parts of the context are the descriptions of Maytenus and Eucommia's distribution.
3. Maytenus is described as being distributed throughout Central and South America, Southeast Asia, Micronesia and Australasia, the Indian Ocean and Africa, whereas Eucommia is native to China with a wider fossil record.

FINAL_ANSWER: Maytenus is more spread around the world.",17.2
14,When was the American rapper which was one those whose House Shoes produced their albums born? ,"March 16, 1981","1. The question is asking for the birthdate of the American rapper whose albums were produced by House Shoes.
2. The relevant parts of the context are the information about Tupac Amaru Shakur's life, including his birthdate.
3. The answer is based on the context, which states that Tupac Amaru Shakur was born on June 16, 1971.

FINAL_ANSWER: June 16, 1971",16.4
15,"Mel Duncan holds a degree from what private, coeducational liberal arts college located in Saint Paul, Minnesota, US?",Macalester College,"1. The question is asking for the name of the private, coeducational liberal arts college where Melvin Earl Duncan holds a degree.
2. The relevant parts of the context are the descriptions of Macalester College and Melvin Earl Duncan's educational background.
3. Based on the context, Macalester College is the private, coeducational liberal arts college where Melvin Earl Duncan holds a degree.

FINAL_ANSWER: Macalester College",16.4
16,"In which town was the 1987 American drama film Ironweed, shot on location that featured a 400 acre pastoral cemetery?","Colonie, New York","1. The question is asking for the town where the 1987 American drama film Ironweed was shot on location, specifically mentioning a 400-acre pastoral cemetery.
2. The relevant parts of the context are the information about Ironweed being shot on location in Albany, New York, and the description of the Albany Rural Cemetery.
3. Based on the context, the answer is that Ironweed was shot on location in Albany, New York, which features the Albany Rural Cemetery.

FINAL_ANSWER: Albany, New York",20.1
17, Are Phil Mogg and Dave Peters musicians?,yes,"1. The question is asking if Phil Mogg and Dave Peters are musicians.
2. The relevant parts of the context are the descriptions of Phil Mogg as the lead singer of UFO and Dave Peters as the vocalist for Throwdown.
3. Based on the context, the answer is yes, both Phil Mogg and Dave Peters are musicians.

FINAL_ANSWER: Phil Mogg and Dave Peters are musicians.",16.1
18,"The Sia song ""Never Give Up"" is from the soundtrack of a film that is based on what non-fiction book?","""A Long Way Home""","The question is asking for the non-fiction book that the film ""Lion"" is based on.

The relevant parts of the context are the film's description as a biographical film directed by Garth Davis and written by Luke Davies, based on the non-fiction book ""A Long Way Home"" by Saroo Brierley.

The answer is based on the context, which states that the film ""Lion"" is based on the non-fiction book ""A Long Way Home"" by Saroo Brierley.

FINAL_ANSWER: ""A Long Way Home"" by Saroo Brierley",19.2
19,"What was a branch of the Khalwatiyya order of Islamic mysticism founded by Sayyid Hasan Husameddin, with relations to the cousin and son-in-law of Muhammad?",Tasawwuf,"1. The question is asking for the name of a branch of the Khalwatiyya order of Islamic mysticism founded by Sayyid Hasan Husameddin, with a connection to the cousin and son-in-law of Muhammad.

2. The relevant parts of the context are Ushshaki (Turkish: ""Uşşaki ""Ush-shaki"""" ) and Ali (the cousin and son-in-law of Muhammad).

3. The answer is Ushshaki, as it is the branch of the Khalwatiyya order of Islamic mysticism mentioned in the context.

FINAL_ANSWER: Ushshaki",24.0
20,"Toby Williams is a British actor, writer and award-winning stand-up comedian, he has appeared in which British comedy television series, shown on the Sky Living channel?",Trying Again,"1. The question is asking for the name of the British comedy television series that Toby Sawyer, not Toby Williams, appeared in, shown on the Sky Living channel.
2. The relevant parts of the context are the information about Toby Sawyer, the series ""Ted Fenwick"", and the fact that the series was co-produced by the BBC and HBO.
3. The answer is not based on the provided context, as Toby Williams is not mentioned in the context, and the series mentioned is ""Ted Fenwick"", not a series that Toby Sawyer appeared in.

FINAL_ANSWER: None",21.2
21,"who had more fame as a solo artist, Jacoby Shaddix or John Waite",John Charles Waite,"1. The question is asking who had more fame as a solo artist between Jacoby Shaddix and John Waite.
2. The relevant parts of the context are John Waite's solo career achievements, specifically his 1984 hit ""Missing You"" on the US Billboard Hot 100 and the UK Singles Chart.
3. Based on the context, John Waite had more fame as a solo artist, as his song ""Missing You"" was a No. 1 hit on the US Billboard Hot 100 and a top ten hit on the UK Singles Chart.

FINAL_ANSWER: John Waite had more fame as a solo artist.",22.5
22,What is another name for the blood disorder Emmanuel Ntima Weyi founded a non-profit in support of?,Sickle-cell disease,"1. The question is asking for another name for the blood disorder that Emmanuel Ntima Weyi founded a non-profit in support of.
2. The relevant parts of the context are the Colorado Sickle Cell Foundation and the description of sickle-cell disease (SCD).
3. The answer is based on the fact that Emmanuel Ntima Weyi founded the Colorado Sickle Cell Foundation, a non-profit organization focused on bringing awareness to sufferers of sickle-cell anemia.

FINAL_ANSWER: Sickle-cell anaemia (SCA)",18.1
23,The special operations force of the Irish Defence Forces had access to what according tothe modern weapons of the Irish Arm? ,a wide variety of specialist weapons,"1. The question is asking about the access to specialist weapons for the special operations force of the Irish Defence Forces.
2. The relevant parts of the context are the description of the Army Ranger Wing and the mention of the Royal Irish Regiment.
3. The answer is that the special operations force of the Irish Defence Forces, the Army Ranger Wing, had access to a wide variety of specialist weapons.

FINAL_ANSWER: The Army Ranger Wing had access to a wide variety of specialist weapons.",16.1
24,Where is the Peppers Manor House and the New South Wales State Heritage Register located?,Australia,"1. The question is asking for the location of the Peppers Manor House and the New South Wales State Heritage Register.
2. The relevant parts of the context are the descriptions of the Peppers Manor House and the New South Wales State Heritage Register.
3. The answer is based on the fact that the Peppers Manor House is located in Sutton Forest, New South Wales, Australia, and the New South Wales State Heritage Register is a list of places in the state of New South Wales, Australia.

FINAL_ANSWER: The Peppers Manor House and the New South Wales State Heritage Register are located in New South Wales, Australia.",19.7
25,What NFL team does the 2010 Washington Huskies head coach work for?,Atlanta Falcons,"1. The question is asking for the NFL team that the 2010 Washington Huskies head coach works for, which is a specific individual (Steve Sarkisian) rather than the team itself.

2. The relevant parts of the context are the biographical information about Steve Sarkisian, specifically that he is the current offensive coordinator for the Atlanta Falcons of the National Football League (NFL).

3. Based on the context, the answer is that Steve Sarkisian works for the Atlanta Falcons.

FINAL_ANSWER: Steve Sarkisian works for the Atlanta Falcons.",18.5
26,What country of origin does Patrick Brice and Creep have in common?,American,"1. The question is asking for the country of origin that Patrick Brice and Creep have in common.
2. The relevant parts of the context are the information about Kevin McCormack, the Irish dance, and the Norwegian Lundehund, as none of the other information mentions Patrick Brice or Creep.
3. The answer is based on the fact that Kevin McCormack is an Irish dancer, and Irish dance is a group of traditional dance forms originating in Ireland.

FINAL_ANSWER: Ireland",16.1
27,Where is the base of one of the three main British intelligence agencies?,Cheltenham,"1. The question is asking for the location of the base of one of the three main British intelligence agencies.
2. The relevant parts of the context are the descriptions of the Government Communications Headquarters (GCHQ) and the Research and Analysis Wing (R&AW).
3. The answer is based on the context, which states that GCHQ is based in ""The Doughnut"" in the suburbs of Cheltenham.

FINAL_ANSWER: The Doughnut in the suburbs of Cheltenham.",18.1
28,Where did the fairy Queen Mab orginate?  ,William Shakespeare,"1. The question is asking about the origin of the fairy Queen Mab.
2. The relevant parts of the context are the description of Queen Mab as a fairy in Irish and English legend, and her reference in William Shakespeare's play ""Romeo and Juliet"".
3. The answer is not explicitly stated in the context, but it can be inferred that Queen Mab is a figure from Irish and English legend, suggesting that her origin is likely from these cultures.

FINAL_ANSWER: The origin of Queen Mab is not specified in the context, but she is described as a figure from Irish and English legend.",21.3
29,What type of soprano was Emma Matthews famous for?,lyric soprano is a type of operatic soprano voice,"1. The question is asking about the type of soprano Emma Matthews is famous for.
2. The relevant parts of the context are the descriptions of Emma Matthews and the definition of a lyric soprano.
3. Based on the context, Emma Matthews is a lyric coloratura soprano.

FINAL_ANSWER: Emma Matthews is a lyric coloratura soprano.",13.1
