id,question,gold_answer,model_answer,elapsed_sec,judge_verdict
0,Bebe Rexha was a singer who guested on the David Guetta song that was produced by which Dutch DJ?,Afrojack,There is no information about Bebe Rexha guesting on a David Guetta song produced by a Dutch DJ in the provided context.,23.8,HALLUCINATED
1,"Yukio Mishima and Roberto Bolaño, are Chilean?",no,"No, neither Yukio Mishima nor Roberto Bolaño is Chilean.",8.8,CORRECT
2,What Lindsey Stirling song's video received 1.3 million views on YouTube after one day?,Shatter Me,"""Shatter Me"".",6.8,CORRECT
3,The 1st Battle of Kharkov was named so by a German field army born in which year ?,1882,Wilhelm Keitel was born in 1882.,11.9,HALLUCINATED
4,"Power Balladz, is a live comedy performance featuring a mixture of comedy, trivia, and iconic rock n' roll songs from the 70s, 80s & 90s, the comedy's musical blend includes songs by Heart, a rock band that first found success in Canada and later in the United States and worldwide, are of which nationality ?",American,Canadian and American.,6.6,HALLUCINATED
5,"Kazuhito Kosaka, is a Japanese comedian, better known by his stage names Daimaou Kosaka, and which name, used by his fictional singer-songwriter identity, and is best known for his single ""PPAP (Pen-Pineapple-Apple-Pen)""?",Pikotaro,Pikotaro.,9.4,CORRECT
6,What was the population of the terminus of the Willunga railway line in 2011,"2,416","Willunga had a population of 2,416 in 2011.",10.2,CORRECT
7,"Stranger Things is an American science fiction-horror web television series created, written, directed and co-executive produced by the Duffer Brothers, the first season stars include Gaten Matarazzo, an American actor, who began his career on the Broadway stage as who, in ""Priscilla, Queen of the Desert""?",Benjamin,"Benjamin in ""Priscilla, Queen of the Desert"".",9.0,HALLUCINATED
8,"Who wrote the lyrics of Portofino with a collaborator on ""Fiddler on the Roof""",Richard Ney,Sheldon Harnick.,9.1,HALLUCINATED
9,What Hockey team does Evander Kane play for?,Buffalo Sabres,The Buffalo Sabres.,7.1,CORRECT
10,Which  castle in the border region of Scotland did Hermitage Water passes through ,Hermitage Castle,Hermitage Castle.,5.8,CORRECT
11,"Which movie was co-written by the person who directed ""Blood""?",The Awakening,Diane Bell.,8.9,HALLUCINATED
12,"Which genus has more species, Fir or Chelone?",Firs,"Firs have more species, with 48-56 species, compared to Chelone with 4 species.",7.6,CORRECT
13,Which genus is more spread around the world Maytenus or Eucommia ?,Maytenus,Maytenus.,5.4,CORRECT
14,When was the American rapper which was one those whose House Shoes produced their albums born? ,"March 16, 1981","Lesane Parish Crooks, the American rapper later known as Tupac Shakur, was born on June 16, 1971.",10.2,HALLUCINATED
15,"Mel Duncan holds a degree from what private, coeducational liberal arts college located in Saint Paul, Minnesota, US?",Macalester College,Macalester College.,7.3,CORRECT
16,"In which town was the 1987 American drama film Ironweed, shot on location that featured a 400 acre pastoral cemetery?","Colonie, New York","Albany, New York.",7.6,HALLUCINATED
17, Are Phil Mogg and Dave Peters musicians?,yes,"Yes, Phil Mogg and Dave Peters are musicians.",7.0,CORRECT
18,"The Sia song ""Never Give Up"" is from the soundtrack of a film that is based on what non-fiction book?","""A Long Way Home""","""A Long Way Home"" by Saroo Brierley.",6.6,CORRECT
19,"What was a branch of the Khalwatiyya order of Islamic mysticism founded by Sayyid Hasan Husameddin, with relations to the cousin and son-in-law of Muhammad?",Tasawwuf,Ushshaki was a branch of the Khalwatiyya order of Islamic mysticism founded by Sayyid Hasan Husameddin.,11.1,HALLUCINATED
20,"Toby Williams is a British actor, writer and award-winning stand-up comedian, he has appeared in which British comedy television series, shown on the Sky Living channel?",Trying Again,"None, the context does not mention Toby Williams as an actor, writer, or award-winning stand-up comedian.",9.1,HALLUCINATED
21,"who had more fame as a solo artist, Jacoby Shaddix or John Waite",John Charles Waite,"John Waite had more fame as a solo artist, as his 1984 single ""Missing You"" reached No. 1 on the US Billboard Hot 100.",10.7,HALLUCINATED
22,What is another name for the blood disorder Emmanuel Ntima Weyi founded a non-profit in support of?,Sickle-cell disease,Sickle-cell anemia.,6.4,CORRECT
23,The special operations force of the Irish Defence Forces had access to what according tothe modern weapons of the Irish Arm? ,a wide variety of specialist weapons,The Army Ranger Wing of the Irish Defence Forces has access to a wide variety of specialist weapons.,7.5,HALLUCINATED
24,Where is the Peppers Manor House and the New South Wales State Heritage Register located?,Australia,"Sutton Forest, New South Wales, Australia.",6.3,HALLUCINATED
25,What NFL team does the 2010 Washington Huskies head coach work for?,Atlanta Falcons,The Atlanta Falcons.,6.1,HALLUCINATED
26,What country of origin does Patrick Brice and Creep have in common?,American,Ireland.,5.3,HALLUCINATED
27,Where is the base of one of the three main British intelligence agencies?,Cheltenham,"The Government Communications Headquarters (GCHQ) is based in ""The Doughnut"" in the suburbs of Cheltenham.",10.6,HALLUCINATED
28,Where did the fairy Queen Mab orginate?  ,William Shakespeare,There is no information in the provided context that indicates the origin of the fairy Queen Mab.,8.2,HALLUCINATED
29,What type of soprano was Emma Matthews famous for?,lyric soprano is a type of operatic soprano voice,Lyric soprano.,6.4,CORRECT
30,"The 2011 Major League Soccer All-Star Game, held on July 27, 2011, was the 16th annual Major League Soccer All-Star Game, Manchester United won the game 4–0 with goals from players, including Daniel Nii Tackie Mensah Welbeck, an English professional footballer who plays for which organization, club Arsenal and the England national team?",Premier League,Arsenal.,7.4,HALLUCINATED
31,Near what river is the library that contains the Aberdeen Bestiary located?,the River Thames,"None is stated, as the context only mentions the Aberdeen Bestiary's location in relation to the Palace of Westminster, not its library.",98.5,HALLUCINATED
32,What life member of The Actors Studio often portraying military or authority figure roles stared in a film that  was directed by Richard Wilson?,Robert F. Simon,"I couldn't find any information about a film directed by Richard Wilson starring Ralph Fiennes or the other provided actors, so I couldn't answer the question.",9.7,HALLUCINATED
