id,question,gold_answer,model_answer,llama_answer,qwen_answer,consensus_status,confidence,elapsed_sec,needs_review
0,Bebe Rexha was a singer who guested on the David Guetta song that was produced by which Dutch DJ?,Afrojack,I couldn't find any information about Bebe Rexha guesting on a David Guetta song produced by a Dutch DJ.,I couldn't find any information about Bebe Rexha guesting on a David Guetta song produced by a Dutch DJ.,Ali B,DISAGREE,LOW,9.5,YES
1,"Yukio Mishima and Roberto Bolaño, are Chilean?",no,"No, they are not Chilean.","No, they are not Chilean.",No,AGREE,HIGH,4.8,NO
2,What Lindsey Stirling song's video received 1.3 million views on YouTube after one day?,Shatter Me,"The song ""Shatter Me"" from Lindsey Stirling's second studio album received 1.3 million views on YouTube after one day.","The song ""Shatter Me"" from Lindsey Stirling's second studio album received 1.3 million views on YouTube after one day.",Shatter Me,AGREE,LOW,4.3,YES
3,The 1st Battle of Kharkov was named so by a German field army born in which year ?,1882,1882.,1882.,1882,AGREE,HIGH,7.2,NO
4,"Power Balladz, is a live comedy performance featuring a mixture of comedy, trivia, and iconic rock n' roll songs from the 70s, 80s & 90s, the comedy's musical blend includes songs by Heart, a rock band that first found success in Canada and later in the United States and worldwide, are of which nationality ?",American,Canadian.,Canadian.,American,DISAGREE,HIGH,3.5,YES
5,"Kazuhito Kosaka, is a Japanese comedian, better known by his stage names Daimaou Kosaka, and which name, used by his fictional singer-songwriter identity, and is best known for his single ""PPAP (Pen-Pineapple-Apple-Pen)""?",Pikotaro,Pikotaro.,Pikotaro.,Pikotaro,AGREE,HIGH,5.4,NO
6,What was the population of the terminus of the Willunga railway line in 2011,"2,416","2,416.","2,416.","2,416",AGREE,HIGH,4.8,NO
7,"Stranger Things is an American science fiction-horror web television series created, written, directed and co-executive produced by the Duffer Brothers, the first season stars include Gaten Matarazzo, an American actor, who began his career on the Broadway stage as who, in ""Priscilla, Queen of the Desert""?",Benjamin,"Gavroche in ""Les Misérables"".","Gavroche in ""Les Misérables"".",Gavroche,AGREE,HIGH,4.4,NO
8,"Who wrote the lyrics of Portofino with a collaborator on ""Fiddler on the Roof""",Richard Ney,Sheldon Harnick collaborated with Richard Ney on the lyrics of Portofino.,Sheldon Harnick collaborated with Richard Ney on the lyrics of Portofino.,Sheldon Harnick,AGREE,LOW,5.4,YES
9,What Hockey team does Evander Kane play for?,Buffalo Sabres,The Buffalo Sabres.,The Buffalo Sabres.,Buffalo Sabres,AGREE,HIGH,4.1,NO
