id,question,gold_answer,model_answer,elapsed_sec,judge_verdict
0,Bebe Rexha was a singer who guested on the David Guetta song that was produced by which Dutch DJ?,Afrojack,I cannot verify which Dutch DJ produced the song that Bebe Rexha guested on with David Guetta.,17.2,HALLUCINATED
1,"Yukio Mishima and Roberto Bolaño, are Chilean?",no,"No, Yukio Mishima was Japanese and Roberto Bolaño was Chilean.",3.4,HALLUCINATED
2,What Lindsey Stirling song's video received 1.3 million views on YouTube after one day?,Shatter Me,I cannot verify which Lindsey Stirling song's video received 1.3 million views on YouTube after one day.,4.2,HALLUCINATED
3,The 1st Battle of Kharkov was named so by a German field army born in which year ?,1882,1925,1.4,HALLUCINATED
4,"Power Balladz, is a live comedy performance featuring a mixture of comedy, trivia, and iconic rock n' roll songs from the 70s, 80s & 90s, the comedy's musical blend includes songs by Heart, a rock band that first found success in Canada and later in the United States and worldwide, are of which nationality ?",American,Canadian.,2.3,HALLUCINATED
5,"Kazuhito Kosaka, is a Japanese comedian, better known by his stage names Daimaou Kosaka, and which name, used by his fictional singer-songwriter identity, and is best known for his single ""PPAP (Pen-Pineapple-Apple-Pen)""?",Pikotaro,Kazuhito Kosaka is better known by his stage name PPAP.,4.0,HALLUCINATED
6,What was the population of the terminus of the Willunga railway line in 2011,"2,416",I cannot verify the population of the terminus of the Willunga railway line in 2011.,3.7,HALLUCINATED
7,"Stranger Things is an American science fiction-horror web television series created, written, directed and co-executive produced by the Duffer Brothers, the first season stars include Gaten Matarazzo, an American actor, who began his career on the Broadway stage as who, in ""Priscilla, Queen of the Desert""?",Benjamin,"Gaten Matarazzo began his career on the Broadway stage as a swing in ""Priscilla, Queen of the Desert"".",5.6,HALLUCINATED
8,"Who wrote the lyrics of Portofino with a collaborator on ""Fiddler on the Roof""",Richard Ney,I cannot verify who wrote the lyrics of Portofino with a collaborator on Fiddler on the Roof.,4.4,HALLUCINATED
9,What Hockey team does Evander Kane play for?,Buffalo Sabres,I couldn't find the most current information on Evander Kane's team.,2.9,HALLUCINATED
10,Which  castle in the border region of Scotland did Hermitage Water passes through ,Hermitage Castle,Borthwick Castle,1.5,HALLUCINATED
11,"Which movie was co-written by the person who directed ""Blood""?",The Awakening,"I don't have information about a movie called ""Blood"".",2.5,HALLUCINATED
12,"Which genus has more species, Fir or Chelone?",Firs,Chelone has more species.,2.0,HALLUCINATED
13,Which genus is more spread around the world Maytenus or Eucommia ?,Maytenus,Eucommia.,1.5,HALLUCINATED
14,When was the American rapper which was one those whose House Shoes produced their albums born? ,"March 16, 1981",I cannot verify who was produced by House Shoes.,2.4,HALLUCINATED
15,"Mel Duncan holds a degree from what private, coeducational liberal arts college located in Saint Paul, Minnesota, US?",Macalester College,Macalester College.,1.9,CORRECT
16,"In which town was the 1987 American drama film Ironweed, shot on location that featured a 400 acre pastoral cemetery?","Colonie, New York","The 1987 American drama film Ironweed, was shot on location in Albany, New York.",4.2,HALLUCINATED
17, Are Phil Mogg and Dave Peters musicians?,yes,"Yes, both Phil Mogg and Dave Peters are musicians.",2.5,CORRECT
18,"The Sia song ""Never Give Up"" is from the soundtrack of a film that is based on what non-fiction book?","""A Long Way Home""","The film ""Joy"" (2015), for which ""Never Give Up"" was featured, is based on the non-fiction book ""Life After Joy: The Courage to Feel and the Resilience to Rise"" and the memoir ""Just Mercy: A Story of Justice and Redemption"" by Bryan Stevenson, but most accurately the film is a biographical drama about Joy Mangano, based on her memoir ""Shoeaholic"".",12.5,HALLUCINATED
19,"What was a branch of the Khalwatiyya order of Islamic mysticism founded by Sayyid Hasan Husameddin, with relations to the cousin and son-in-law of Muhammad?",Tasawwuf,"The Sufi order that was founded by Sayyid Hasan Husameddin, a cousin and son-in-law of Muhammad, is the Suhrawardiyya.",6.0,HALLUCINATED
20,"Toby Williams is a British actor, writer and award-winning stand-up comedian, he has appeared in which British comedy television series, shown on the Sky Living channel?",Trying Again,QI.,1.7,HALLUCINATED
21,"who had more fame as a solo artist, Jacoby Shaddix or John Waite",John Charles Waite,John Waite had more fame as a solo artist.,2.5,HALLUCINATED
22,What is another name for the blood disorder Emmanuel Ntima Weyi founded a non-profit in support of?,Sickle-cell disease,I couldn't find any information on an individual named Emmanuel Ntima Weyi founding a non-profit for a blood disorder.,4.4,HALLUCINATED
23,The special operations force of the Irish Defence Forces had access to what according tothe modern weapons of the Irish Arm? ,a wide variety of specialist weapons,I can't verify that the Irish Defence Forces have access to the following weapons,3.1,HALLUCINATED
24,Where is the Peppers Manor House and the New South Wales State Heritage Register located?,Australia,"I couldn't find any information on ""Peppers Manor House"". However, the New South Wales State Heritage Register is located in Sydney, New South Wales, Australia.",5.4,HALLUCINATED
25,What NFL team does the 2010 Washington Huskies head coach work for?,Atlanta Falcons,I couldn't find any information about a 2010 Washington Huskies head coach.,3.4,HALLUCINATED
26,What country of origin does Patrick Brice and Creep have in common?,American,Sweden.,1.3,HALLUCINATED
27,Where is the base of one of the three main British intelligence agencies?,Cheltenham,The base of MI5 is located in London.,2.3,HALLUCINATED
28,Where did the fairy Queen Mab orginate?  ,William Shakespeare,"Queen Mab originated from a 1594 English play ""The Downfall of Robert Devereux, 2nd Earl of Essex"" by Christopher Marlowe.",5.5,HALLUCINATED
29,What type of soprano was Emma Matthews famous for?,lyric soprano is a type of operatic soprano voice,Emma Matthews was famous for being an Australian mezzo-soprano.,2.8,HALLUCINATED
30,"The 2011 Major League Soccer All-Star Game, held on July 27, 2011, was the 16th annual Major League Soccer All-Star Game, Manchester United won the game 4–0 with goals from players, including Daniel Nii Tackie Mensah Welbeck, an English professional footballer who plays for which organization, club Arsenal and the England national team?",Premier League,Manchester United.,2.7,HALLUCINATED
31,Near what river is the library that contains the Aberdeen Bestiary located?,the River Thames,The Aberdeen Bestiary is located near the River Don.,2.6,HALLUCINATED
32,What life member of The Actors Studio often portraying military or authority figure roles stared in a film that  was directed by Richard Wilson?,Robert F. Simon,I cannot verify the information requested.,2.2,HALLUCINATED
33,"Proud To Commit Commercial Suicide is a live album by industrial metal band Nailbomb and captures the band's only live appearance at the 1995 Dynamo Open Air Festival, the album cover is a picture of the aftermath of which infamous remote settlement established by the Peoples Temple, an American socialist organization under the leadership of Jim Jones, in northwestern Guyana?",Jonestown,Jonestown.,2.6,CORRECT
34,Who directed the film in which Christoph Koncz starred as Kaspar Weiss ?,François Girard,I cannot verify who directed the film.,2.0,HALLUCINATED
35,"Decommissioning in Northern Ireland was a process in the Belfast Agreement as part of the Northern Ireland peace process, the Northern Ireland peace process is often considered to cover the events leading up to which year, Provisional Irish Republican Army (IRA) ceasefire, the end of most of the violence of the Troubles, the Good Friday (or Belfast) Agreement of 1998, and subsequent political developments?",1994,1998.,2.6,HALLUCINATED
36,Are Monoral and Versus both rock bands?,yes,"Yes, both Monoral and Versus are rock bands.",2.6,CORRECT
37,Which prefecture is the city where the Japanese actor Akiji Kobayashi passed away the capital of?,Kanagawa Prefecture,I couldn't find any information about a Japanese actor named Akiji Kobayashi.,3.3,HALLUCINATED
38,In what year was the Korean student scholarship established by South Korean business magnate and the chairman of Samsung Group?,2002,I cannot verify the year the scholarship was established.,2.4,HALLUCINATED
39,Cooper pairs were first described by an American physicist born in what year?,1930,1957,1.2,HALLUCINATED
40,Jang Yeong-sil is a historical drama television series starring a South Korean actor best known for his role in what 2006 hit drama series? ,Jumong,Kim Soo-hyun.,2.2,HALLUCINATED
41,Which actor in The 39 Steps also starred in the series The Strain?,Rupert Penry-Jones,I can't verify which actor from The 39 Steps also starred in The Strain.,3.3,HALLUCINATED
42,Were both the Hanover Hound and Toy Trawler Spaniel introduced to France?,no,Yes.,1.4,HALLUCINATED
43,"Which board game was created by Reiner Knizia, Junta or Medici?",Medici,I couldn't find any information about Junta or Medici being a board game by Reiner Knizia.,4.0,HALLUCINATED
44,Were George Melford and Giuseppe Tornatore both actors?,no,"No, George Melford was a cinematographer, and Giuseppe Tornatore was a film director.",4.0,CORRECT
45,What Japanese mixed martial artist worked for the Dream organization in many of their promoted MMA shows?,Kazushi Sakuraba,Hiroshi Izumi.,1.8,HALLUCINATED
46,"Which catherdral is located in London, Norwich Cathedral or St Paul's Cathedral?",St Paul's Cathedral,St Paul's Cathedral.,1.8,CORRECT
47,"Which musican is older, Tom Verlaine or David Vincent?",Tom Verlaine,"I cannot verify which musician is older, Tom Verlaine or David Vincent.",3.1,HALLUCINATED
48,"Who owns a mall in Youngstown, Ohio with a BAM! store?",Cafaro Company,"I cannot verify who owns a mall in Youngstown, Ohio with a BAM! store.",3.3,HALLUCINATED
49,When was the rapper on Lil B.I.G. Pac born?,"June 11, 1997",I couldn't find any information on a rapper named Lil B.I.G. Pac.,3.1,HALLUCINATED
50,"What is the name of this 2010 American romantic comedy film directed by Garry Marshall, released February 9, 2010 via Big Machine Records?",Valentine's Day,Valentine's Day.,2.0,CORRECT
51,When was the railroad opened which is north to the Bates Pond?,1947,I couldn't find any information about a railroad near Bates Pond.,2.9,HALLUCINATED
52,"Who is Mary, Crown Princess of Denmark's mother-in-law?",Queen Margrethe II,Danish Queen Margrethe II.,1.9,HALLUCINATED
53,In what party is the president whose cabinet Francisco Javier Mayorga Castañeda serves in?,National Action Party,I cannot verify information on a president whose cabinet is Francisco Javier Mayorga Castañeda.,3.5,HALLUCINATED
54,What genre are both Giant Drag and Chagall Guevara?,rock,Both Giant Drag and Chagall Guevara are classified as punk bands.,3.1,HALLUCINATED
55,What is the best-seller by Ruta Sepetys?,Between Shades of Gray,Between the Lines.,1.5,HALLUCINATED
56,Scary Movie 5 was released under what independent film distribution label?,Dimension Films,Lionsgate's Summit Entertainment.,2.0,HALLUCINATED
57,"What is the population of the small town with an Air Force Base 7 mi northeast of Sacramento, California?",743,"I cannot verify the population of the small town with an Air Force Base 7 mi northeast of Sacramento, California.",4.1,HALLUCINATED
58,When did the coach of the Karachi Kings finish his time as coach of the Australia national cricket team ?,23 June 2013.,I couldn't find any information on the coach of the Karachi Kings coaching the Australia national cricket team.,3.8,HALLUCINATED
